,tweet_id,retweet_count,fav_count
1742,678278586130948096,5460,10363
1743,678255464182861824,326,1443
1744,678023323247357953,340,1735
1745,678021115718029313,5581,12288
1746,677961670166224897,1516,3112
1747,677918531514703872,362,1214
1748,677895101218201600,1829,4369
1749,677716515794329600,869,2772
1750,677700003327029250,1279,3094
1751,677698403548192770,285,1113
1752,677687604918272002,748,2242
1753,677673981332312066,1337,3019
1754,677662372920729601,838,1769
1755,677644091929329666,724,1705
1756,677573743309385728,594,1927
1757,677565715327688705,409,1185
1758,677557565589463040,1008,2207
1759,677547928504967168,3278,6280
1760,677530072887205888,203,963
1761,677335745548390400,1542,2744
1762,677334615166730240,249,1219
1763,677331501395156992,207,984
1764,677328882937298944,1332,3316
1765,677314812125323265,468,1492
1766,677301033169788928,354,1108
1767,677269281705472000,631,1787
1768,677228873407442944,1453,3190
1769,677187300187611136,804,2478
1770,676975532580409345,946,2514
1771,676957860086095872,718,2015
1772,676949632774234114,347,1177
1773,676948236477857792,770,1946
1774,676946864479084545,325,1571
1775,676942428000112642,664,1864
1776,676936541936185344,4405,11549
1777,676916996760600576,1607,2679
1778,676897532954456065,646,2042
1779,676864501615042560,621,1880
1780,676821958043033607,13690,20582
1781,676819651066732545,598,1651
1782,676811746707918848,377,1301
1783,676776431406465024,1792,4491
1784,676617503762681856,851,2608
1785,676613908052996102,174,980
1786,676606785097199616,385,1716
1787,676603393314578432,337,1033
1788,676593408224403456,1878,4111
1789,676590572941893632,109,835
1790,676588346097852417,693,2069
1791,676582956622721024,251,1068
1792,676575501977128964,980,2318
1793,676533798876651520,487,1690
1794,676496375194980353,466,1368
1795,676470639084101634,4149,10515
1796,676440007570247681,585,1555
1797,676430933382295552,302,1259
1798,676263575653122048,483,1884
1799,676237365392908289,248,1088
1800,676219687039057920,27577,70456
1801,676215927814406144,516,1564
1802,676191832485810177,914,2048
1803,676146341966438401,583,1746
1804,676121918416756736,1020,1953
1805,676101918813499392,1045,2569
1806,676098748976615425,1242,2662
1807,676089483918516224,388,1177
1808,675898130735476737,505,1440
1809,675891555769696257,759,1914
1810,675888385639251968,835,2105
